obj_id,title,dc_type,dates,silver_tier,stratum,ddb_url,heuristic_class,notes,true_class
6TXS2KDZH5KY2CAVLQ3S4A4JTW3Z7QPA,Leichpredigt || Auffm Begrebnus || der Edlen ... || Frawen/ Dorothee von Wülffen/|| des ... || Juncker Christoff von Wal=||witz seligen/ nachgelassene || Widwe.|| Geschehen zu Döberitz/ Mit=||woch/ den 4. Junij.|| Durch M. Clementem Stre=||sonem/ Prediger zu Zerbst in || S. Barthelmess Kirchen.||,Leichenpredigt|Monografie,1572,0,Leichenpredigt,https://ddb.de/item/6TXS2KDZH5KY2CAVLQ3S4A4JTW3Z7QPA,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
DOXOBEJL2M5MUGYJEBHIPJ44HGZFYNHT,"Mortis Oppositum, Todts Gegensatz/ Oder Was wir zu unserm Trost dem zeitlichen Todt entgegen setzen und halten sollen : Herfür- und zusamen gesucht auß dem 26. Cap. des Propheten Esaiae v. 20. Bey Christlicher und Volckreichen Leichbegängnüs Des weyland Ehrwürdigen/ Fürachtparn und Wolgelarten Herrn M. Adami Volswets/ Wolverdienten Pastoris auff der Fürstl. Br. Lüneburg. Bergstadt Claußthal/ Anno 1643. den 29. Octobris",Leichenpredigt|Monografie,1645 - ,1,Leichenpredigt,https://ddb.de/item/DOXOBEJL2M5MUGYJEBHIPJ44HGZFYNHT,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
UTDJSIUU5YXZQHYEBN2WFOT7N5YSREDT,"Die wohlbelohnte Treue eines rechtschaffenen Lehrers wolte, Als der Hochwürdige, in Gott Andächtige und Hochgelahrte Herr, Herr Joh. Jacob Rambach, der heiligen Schrift hochberühmter Doctor und Professor Primarius, ... den 19. April 1735. durch einen seligen Tod aus dieser Welt geschieden, den darauf erfolgten 22. April bey dessen Beerdigung, in einer volckreichen Versammlung aus Offenb. III, 7-13. vorstellen",Leichenpredigt|Gelegenheitsschrift:Tod|Monografie,1736,0,Leichenpredigt,https://ddb.de/item/UTDJSIUU5YXZQHYEBN2WFOT7N5YSREDT,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
WG4PVMTZGX56TMSMCFV2BDT47FGWRJP2,"Sophia Athletae Fidelis Victoriosa, Das ist: Der weisen Christen Kampff/ Sieg und Kron/ ... Bey Christlicher wohlangestallter Sepultur Der ... Frauen Annen Sophien/ Des ... Hn. Joseph Wolffens/ derer Rechte Candidati, Gräfflichen Schwartzburgischen wohlbestallten Vormundschafft-Secretarii, und vornehmen Advocati zu Gera/ gewesenen Hertzgeliebten Ehlichen Hauß-Frauen/ : Welche instehenden 1659. Jahrs/ den 20. Februarii ... entschlaffen/ und ... den 24. eiusdem ... beygesetzet worden",Leichenpredigt|Monografie,1659,1,Leichenpredigt,https://ddb.de/item/WG4PVMTZGX56TMSMCFV2BDT47FGWRJP2,EARLY_MODERN_DE,"Early modern markers: ['', '', 'derer']",
KKUU4SQ6CWMFUZWNETAWBDMO7IR2CAEU,Die mit Christo Im Leben/ im Tode/ und nach dem Tode Vereinigte Kinder Gottes/ In einer Gedächtniß-Predigt/ So der Weyland Hoch-Wohlgebohrnen Frauen/ Fr. Johanna Ilsa von Lethmate Gebohrnen von Legaten/ Des ... Hrn. Caspar von Lethmate/ Seiner Königl. Majestät in Schweden Hochbestalten General-Majors und Krieges-Raths Inhabern des Amts alten Staßfurth und Schaffsee/ Erb-Herrn auf Brachwitz/ Nachgelassenen Frau Wittwen Aus der Epistel an die Römer Cap. VIII. v. 17. 16. In hiesiger Johannis Kirche Ao. 1705. Den 30. Aug. Bey Hochansehnlicher Versamlung gehalten worden,Leichenpredigt|Monografie,1705,0,Leichenpredigt,https://ddb.de/item/KKUU4SQ6CWMFUZWNETAWBDMO7IR2CAEU,EARLY_MODERN_DE,"Early modern markers: ['', 'Gottes', '']",
Q7XLBOJBJRMOHF344UP72JTNXB2KH6RA,Schwere Leidens-Last und Seelige Leidens-Lust : Welche Bey ... Beerdigung Der ... Frauen Annen Dorotheen Noltin/ gebornen Ilmerin/ Des ... Herrn Brandani Noltens ... Eheliebsten/ Als Dieselbe am 11. Martii 1697. ... verschieden ... ; Aus den beliebten Leichen-Text-Worten Ps. LXVIII. v. 20. 21. Gott legt uns eine Last auff/ aber er hilfft uns auch [et]c.,Leichenpredigt|Monografie,1697 - ,1,Leichenpredigt,https://ddb.de/item/Q7XLBOJBJRMOHF344UP72JTNXB2KH6RA,EARLY_MODERN_DE,"Early modern markers: ['', '', 'Herrn']",
26HIIZAIDGN5DR25LQIQHP2S6WHUKIWZ,"Pretiosissima In Altera Vita Cimelia, Oder: Christliche LeichenPredigt/ Aus den schönen Worten Sap. 5, v. 16. Die Gerechten werden ewiglich leben/ [et]c. : Bey ... Leichenbestattung Des ... Herrn Georg Friedrichs von Schönbergk/ uff Mittelfrohna/ Limpach und Pfaffroda ... Berg- und Ampts-Hauptmans/ Welcher zu Freybergk den 23. Octob. ... entschlaffen/ und den 10. Novemb. ... zur Erden bestattet worden/ A. C. M.DC.L.",Leichenpredigt|Monografie,1650,0,Leichenpredigt,https://ddb.de/item/26HIIZAIDGN5DR25LQIQHP2S6WHUKIWZ,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
E3YUSJCHGV53ZXE7PYF67OX7UOHVXP5T,"Beständige Christen-treu/ und derselben gnaden-lohn: nach denen worten der offenbahrung Cap. II. vers. 10. Sey getreu biß an den todt/ so wil Ich dir die kron des lebens geben : bey Christlicher Sepultur Des ... Herrn Henrici Petri, der Stadt Braunschweig wolverdienten Bürgermeisters/ als der/ nach seligem am XVII. Augusti dieses 1655. Jahrs genommenem abschiede/ darauff den 22. selbigen Monats in S. Magni Kirchen zur erden bestattet worden/ alda zu betrachten fürgetragen",Leichenpredigt|Monografie,1655 - ,1,Leichenpredigt,https://ddb.de/item/E3YUSJCHGV53ZXE7PYF67OX7UOHVXP5T,EARLY_MODERN_DE,"Early modern markers: ['', 'Sey', '']",
3CMGWDB37VXZGMAFVI3HGP26OBM57EXI,Das Aufrichtige Adler-Hertz : Welches Die ... Frau Johanna/ Gebohrne Beckerin von Rosenfeld ... Hn. Christian Lorentz von Adlershelm ... Ehe-Liebste/ Ihrem Gott ... Vermittels der Wort des CXXXIX. Ps. v. 23. und 24: ... Dargestellet hat ...,Leichenpredigt|Monografie,1674,0,Leichenpredigt,https://ddb.de/item/3CMGWDB37VXZGMAFVI3HGP26OBM57EXI,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
645L6YOK7AJQVVXKMFXWZAD5VELZ5IJJ,"Ultimum Vale, Oder Die Letzten Reden/ Damit die ... Elisabeth geb. Schmiedin/ Deß ... Daniel Breithors ... Stadt-Vogts der Stadt Lüben/ In Ihrem tode ... gesegnet/ und gutte Nacht giebet : genommen Auß dem 4. Psalm, v. 9. Ich liege/ und schlaffe gantz mit Frieden/ [et]c. ; Erkläret und gehandelt bey Ihrer Sepultur und Leichen bestattung/ den 6. Febr. Anno 1650. Alß Sie zuvor den 31. Ianuar. Ihr Leben ... geendet",Leichenpredigt|Monografie,1650,1,Leichenpredigt,https://ddb.de/item/645L6YOK7AJQVVXKMFXWZAD5VELZ5IJJ,EARLY_MODERN_DE,"Early modern markers: ['', 'Deß', '']",
C3ZC2T3WWLLQTKQS4KX42RH2YGI3NXVF,Das Heyl Jacobs/ : Bey Adelicher Leichbegängniß/ Des ... Gerhard-Romilian von Kalchun/ Genand Leuchtmar von dem Hause Leuchtmar/ Churfürstl. Brandenburg. gewesenen Vornehmen Geheimbten/ auch Kriegs- Hoff- und Cammergerichts Rahtes ... In der ThumbKirchen zu Cölln an der Spree ... dieses 1645. Jahres/ bey volckreicher Versamblung erkläret,Leichenpredigt|Monografie,1645,1,Leichenpredigt,https://ddb.de/item/C3ZC2T3WWLLQTKQS4KX42RH2YGI3NXVF,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
WH3HV6P2VDPGRTCVQTWZ3N2NTZ2WL5SL,LeichPredigt/ Uber den Anfang des XXV. Psalms : Beym Begräbnis der ... Magdalenen/ Weiland Herrn Laurentii Finckelthausen/ des Raths und StadtRichters zu Leipzig/ seligen/ nachgelassener Witwen/ Welche den 20. Decembris des 1625. Jahrs ... verschieden/ und den 23. desselben ... zur Erden bestattet worden. Gehalten,Leichenpredigt|Monografie,1626 - ,1,Leichenpredigt,https://ddb.de/item/WH3HV6P2VDPGRTCVQTWZ3N2NTZ2WL5SL,EARLY_MODERN_DE,"Early modern markers: ['', 'Herrn', '']",
