path,value_types
edm.RDF.ProvidedCHO.dcType.resource,Literals(string)|URI
edm.RDF.ProvidedCHO.description,
edm.RDF.ProvidedCHO.description[].$,Literals(string)
edm.RDF.ProvidedCHO.description[].lang,Literals(string)
edm.RDF.ProvidedCHO.description[].resource,Literals(string)
edm.RDF.ProvidedCHO.edmType,Literals(string)
edm.RDF.ProvidedCHO.extent,
edm.RDF.ProvidedCHO.extent[].$,Literals(string)
edm.RDF.ProvidedCHO.extent[].lang,Literals(string)
edm.RDF.ProvidedCHO.extent[].resource,Literals(string)
edm.RDF.ProvidedCHO.format,
edm.RDF.ProvidedCHO.format.$,Literals(string)
edm.RDF.ProvidedCHO.format.lang,Literals(string)
edm.RDF.ProvidedCHO.format.resource,Literals(string)|URI
edm.RDF.ProvidedCHO.hasMet,
edm.RDF.ProvidedCHO.hasMet[].$,Literals(string)
edm.RDF.ProvidedCHO.hasMet[].resource,Literals(string)|URI
edm.RDF.ProvidedCHO.hasType,
edm.RDF.ProvidedCHO.hasType[].$,Literals(string)
edm.RDF.ProvidedCHO.hasType[].lang,Literals(string)
edm.RDF.ProvidedCHO.hasType[].resource,Literals(string)|URI
edm.RDF.ProvidedCHO.hierarchyPosition,Literals(string)
edm.RDF.ProvidedCHO.hierarchyType,Literals(string)
edm.RDF.ProvidedCHO.identifier[],Literals(string)|URI
edm.RDF.ProvidedCHO.isPartOf,
edm.RDF.ProvidedCHO.isPartOf[].$,Literals(string)
edm.RDF.ProvidedCHO.isPartOf[].lang,Literals(string)
edm.RDF.ProvidedCHO.isPartOf[].resource,Literals(string)|URI
edm.RDF.ProvidedCHO.issued,
edm.RDF.ProvidedCHO.issued[].$,Literals(string)
edm.RDF.ProvidedCHO.issued[].lang,Literals(string)
edm.RDF.ProvidedCHO.issued[].resource,Literals(string)
edm.RDF.ProvidedCHO.language,Literals(string)
edm.RDF.ProvidedCHO.spatial,
edm.RDF.ProvidedCHO.spatial[].$,Literals(string)
edm.RDF.ProvidedCHO.spatial[].lang,Literals(string)
edm.RDF.ProvidedCHO.spatial[].resource,Literals(string)|URI
edm.RDF.ProvidedCHO.title,
edm.RDF.ProvidedCHO.title.$,Literals(string)
edm.RDF.ProvidedCHO.title.lang,Literals(string)
edm.RDF.ProvidedCHO.title.resource,Literals(string)
edm.RDF.TimeSpan,Literals(string)
edm.RDF.TimeSpan.about,Literals(string)
edm.RDF.TimeSpan.begin,
edm.RDF.TimeSpan.begin.$,Literals(string)
edm.RDF.TimeSpan.begin.lang,Literals(string)
edm.RDF.TimeSpan.end,
edm.RDF.TimeSpan.end.$,Literals(string)
edm.RDF.TimeSpan.end.lang,Literals(string)
edm.RDF.WebResource,
edm.RDF.WebResource.dcTermsRights,
edm.RDF.WebResource.edmRights,
edm.RDF.WebResource.type,
edm.RDF.WebResource[].about,Literals(string)|URI
edm.RDF.WebResource[].creator,Literals(string)
edm.RDF.WebResource[].dcTermsRights,Literals(string)
edm.RDF.WebResource[].dcTermsRights.$,Literals(string)
edm.RDF.WebResource[].dcTermsRights.lang,Literals(string)
edm.RDF.WebResource[].dcTermsRights.resource,URI
edm.RDF.WebResource[].edmRights,Literals(string)
edm.RDF.WebResource[].edmRights.$,Literals(string)
edm.RDF.WebResource[].edmRights.lang,Literals(string)
edm.RDF.WebResource[].edmRights.resource,URI
edm.RDF.WebResource[].type.$,Literals(string)
edm.RDF.WebResource[].type.lang,Literals(string)
edm.RDF.WebResource[].type.resource,URI
indexing-profile,
indexing-profile.facet,
indexing-profile.facet[].name,Literals(string)
indexing-profile.facet[].value[],Literals(string)|URI
indexing-profile.item-id,Literals(string)
preview,
preview.media,Literals(string)
preview.subtitle,Literals(string)
preview.thumbnail,
preview.thumbnail.href,Literals(string)
preview.title,Literals(string)
preview.type,Literals(string)
properties,
properties.automatically-translated,Literals(string)
properties.cortex-type,Literals(string)
properties.dataset-id,Literals(string)
properties.dataset-label,Literals(string)
properties.ingest-date,Literals(string)
properties.item-id,Literals(string)
properties.mapping-version,Literals(string)
properties.revision-id,Literals(string)
provider-info,
provider-info.domains[],Literals(string)|URI
provider-info.provider-collection,Literals(string)
provider-info.provider-ddb-id,Literals(string)
provider-info.provider-email,Literals(string)
provider-info.provider-europeana-name,Literals(string)
provider-info.provider-facebook,Literals(string)|URI
provider-info.provider-id,Literals(string)
provider-info.provider-isil,Literals(string)|URI
provider-info.provider-item-id,Literals(string)|URI
provider-info.provider-item-id-type,Literals(string)
provider-info.provider-latitude,Literals(string)
provider-info.provider-logo,Literals(string)|URI
provider-info.provider-longitude,Literals(string)
provider-info.provider-name,Literals(string)
provider-info.provider-parent-id,Literals(string)
provider-info.provider-parents,
provider-info.provider-parents.parents,Literals(string)
provider-info.provider-parents.parents[].aggregator,Literals(string)
provider-info.provider-parents.parents[].domains[],Literals(string)|URI
provider-info.provider-parents.parents[].provider-collection,Literals(string)
provider-info.provider-parents.parents[].provider-ddb-id,Literals(string)
provider-info.provider-parents.parents[].provider-email,Literals(string)
provider-info.provider-parents.parents[].provider-id,Literals(string)
provider-info.provider-parents.parents[].provider-item-id-type,Literals(string)
provider-info.provider-parents.parents[].provider-latitude,Literals(string)
provider-info.provider-parents.parents[].provider-logo,Literals(string)|URI
provider-info.provider-parents.parents[].provider-longitude,Literals(string)
provider-info.provider-parents.parents[].provider-name,Literals(string)
provider-info.provider-parents.parents[].provider-parent-id,Literals(string)
provider-info.provider-parents.parents[].provider-uri,URI
provider-info.provider-state,Literals(string)
provider-info.provider-twitter,Literals(string)|URI
provider-info.provider-uri,URI
source,
source.description,
source.description.id,Literals(string)
source.description.record,
source.description.record.href,Literals(string)
source.description.record.id,Literals(string)
source.description.record.id[].type,Literals(string)
source.description.record.id[].value,Literals(string)
source.description.record.ref,Literals(string)
source.description.record.type,Literals(string)|URI
view,
view.cortex-institution,Literals(string)
view.item,
view.item.category,Literals(string)
view.item.fields,
view.item.fields.field,
view.item.fields.field.value,
view.item.fields[].field[].georeference,Literals(string)
view.item.fields[].field[].id,Literals(string)
view.item.fields[].field[].name,Literals(string)
view.item.fields[].field[].value[].content,Literals(string)|URI
view.item.fields[].field[].value[].creditline,Literals(string)
view.item.fields[].field[].value[].resource,Literals(string)|URI
view.item.fields[].field[].value[].rightsholder,Literals(string)
view.item.fields[].field[].value[].rightsinfo,Literals(string)
view.item.fields[].usage,Literals(string)
view.item.identifier,Literals(string)|URI
view.item.institution,
view.item.institution.id,Literals(string)
view.item.institution.logo-institution-ddbid,Literals(string)
view.item.institution.name,Literals(string)
view.item.institution.url,URI
view.item.label,Literals(string)
view.item.latitude,Literals(string)
view.item.license,Literals(string)
view.item.license.resource,URI
view.item.longitude,Literals(string)
view.item.media,Literals(string)
view.item.metdata-rights,Literals(string)|URI
view.item.origin,Literals(string)|URI
view.item.rights,Literals(string)
view.item.subtitle,Literals(string)
view.item.thumbnail,Literals(string)
view.item.title,Literals(string)
view.item.viewers,
view.item.viewers.viewer,
view.item.viewers.viewer.name,
view.item.viewers.viewer[],
view.item.viewers.viewer[].name.id,Literals(string)
view.item.viewers.viewer[].name.value[],Literals(string)
view.item.viewers.viewer[].url,URI
wgs84-position,Literals(string)
